W0503 13:52:57.963000 630389 site-packages/torch/distributed/run.py:851] 
W0503 13:52:57.963000 630389 site-packages/torch/distributed/run.py:851] *****************************************
W0503 13:52:57.963000 630389 site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0503 13:52:57.963000 630389 site-packages/torch/distributed/run.py:851] *****************************************
DDP mode: ignoring train.use_data_parallel from config.
dataset storage train: pt | index = /home/lidz/YOLO/DataSet/Unified/packed/pt/coco2017_train/chunk_1024/index.json | chunks = 116 | samples = 118287 | chunk_size = 1024
dataset storage val: pt | index = /home/lidz/YOLO/DataSet/Unified/packed/pt/coco2017_val/chunk_1024/index.json | chunks = 5 | samples = 5000 | chunk_size = 1024
/home/lidz/miniconda3/envs/yolov1/lib/python3.10/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
DDP configured global batch size: 128
DDP per-rank batch size: 16
DDP effective global batch size: 128
DDP configured workers: 64
DDP per-rank workers: 8
starting yolov0 DDP training
run id: dual_scale_three_box_coco_only_noobj1_416_k6_anchorcost025_ddp_20260503_135302
device: cuda:0
backend: nccl
world size: 8
train dataset length: 118287
val dataset length: 5000
model output shape: {'p4': (1, 26, 26, 255), 'p5': (1, 13, 13, 255)}
parameter total: 36531294
parameter trainable: 36531294
tensorboard dir: runs/dual_scale_three_box_coco_only_noobj1_416_k6_anchorcost025_ddp_20260503_135302
output dir: outputs/dual_scale_three_box_coco_only_noobj1_416_k6_anchorcost025_ddp_20260503_135302
epoch 001 | step 0001 | total = 11.7105 | box = 1.4490 | obj = 3.0425 | cls = 1.4228 | lr = 0.001000
epoch 001 | step 0020 | total = 8.2064 | box = 1.1626 | obj = 2.1835 | cls = 0.2100 | lr = 0.001000
epoch 001 | step 0040 | total = 7.4198 | box = 1.0560 | obj = 2.0543 | cls = 0.0856 | lr = 0.001000
epoch 001 | step 0060 | total = 7.6792 | box = 1.1184 | obj = 2.0185 | cls = 0.0687 | lr = 0.001000
epoch 001 | step 0080 | total = 8.0833 | box = 1.2240 | obj = 1.9003 | cls = 0.0633 | lr = 0.001000
epoch 001 | step 0100 | total = 7.5508 | box = 1.1268 | obj = 1.8601 | cls = 0.0568 | lr = 0.001000
epoch 001 | step 0120 | total = 8.0606 | box = 1.2172 | obj = 1.9173 | cls = 0.0571 | lr = 0.001000
epoch 001 | step 0140 | total = 7.1375 | box = 1.0139 | obj = 2.0062 | cls = 0.0621 | lr = 0.001000
epoch 001 | step 0160 | total = 7.2045 | box = 1.0149 | obj = 2.0576 | cls = 0.0722 | lr = 0.001000
epoch 001 | step 0180 | total = 7.2492 | box = 1.0230 | obj = 2.0664 | cls = 0.0678 | lr = 0.001000
epoch 001 | step 0200 | total = 6.9822 | box = 0.9846 | obj = 1.9942 | cls = 0.0651 | lr = 0.001000
epoch 001 | step 0220 | total = 6.7659 | box = 0.9308 | obj = 2.0449 | cls = 0.0670 | lr = 0.001000
epoch 001 | step 0240 | total = 7.3886 | box = 1.0900 | obj = 1.8758 | cls = 0.0630 | lr = 0.001000
epoch 001 | step 0260 | total = 7.1097 | box = 1.0205 | obj = 1.9472 | cls = 0.0599 | lr = 0.001000
epoch 001 | step 0280 | total = 7.4833 | box = 1.1091 | obj = 1.8834 | cls = 0.0543 | lr = 0.001000
epoch 001 | step 0300 | total = 7.6533 | box = 1.1566 | obj = 1.8101 | cls = 0.0604 | lr = 0.001000
